id,url,team,name,image,position,shoots,height,weight,college,birthDate,highSchoolName,highSchoolCity,highSchoolState,yearsFrom,yearsTo,seasonsPlayed,gamesPlayed,minutesPlayed,fieldGoalsMade,fieldGoalAttempts,threePointsMade,threePointAttempts,freeThrowsMade,freeThrowAttempts,offensiveRebounds,rebounds,asssists,steals,blocks,turnovers,fouls,points,fieldGoalPercentage,threePointPercentage,freeThrowPercentage,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame
14,/players/a/atkinch01.html,BOS,Chucky Atkins,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/atkinch01.jpg,SG/PG,R,5-11,160,University of South Florida,1974-08-14,Evans,Orlando,Florida,2004,2004,1,24,793,104,249,39,111,42,54,3,45,128,26,1,44,42,289,0.418,0.351,0.778,33,12,1.9,5.3
15,/players/a/awtrede01.html,BOS,Dennis Awtrey,,C,R,6-10,235,Santa Clara University,1948-02-22,Blackford,San Jose,California,1979,1979,1,23,247,17,44,,,16,20,13,47,20,3,6,21,37,50,0.386,,0.8,10.7,2.2,2,0.9
16,/players/b/babbch01.html,BOS,Chris Babb,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/babbch01.jpg,SG,R,6-5,225,,1990-02-14,The Oakridge School,Arlington,Texas,2014,2014,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,0.267,0.222,,9.4,1.6,1.2,0.2
17,/players/b/bachjo01.html,BOS,Johnny Bach,,F/G,R,6-2,180,Fordham University,1924-07-10,St. John's Preparatory School,Brooklyn,New York,1949,1949,1,34,,34,119,,,51,75,,,25,,,,24,119,0.286,,0.68,,3.5,,0.7
18,/players/b/baglejo01.html,BOS,John Bagley,,PG,R,6-0,185,Boston College,1960-04-23,Warren Harding,Bridgeport,Connecticut,1990,1993,3,137,2934,332,749,11,61,102,140,65,257,796,99,8,255,211,777,0.443,0.18,0.729,21.4,5.7,1.9,5.8
19,/players/b/bakervi01.html,BOS,Vin Baker,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bakervi01.jpg,PF/C,R,6-11,232,University of Hartford,1971-11-23,Old Saybrook,Old Saybrook,Connecticut,2003,2004,2,89,1942,267,540,0,5,154,219,166,408,83,44,53,113,244,688,0.494,0,0.703,21.8,7.7,4.6,0.9
20,/players/b/banksma01.html,BOS,Marcus Banks,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/banksma01.jpg,PG,R,6-2,200,"University of Nevada, Las Vegas",1981-11-19,Cimarron Memorial,Las Vegas,Nevada,2004,2006,3,180,2799,325,808,54,164,247,324,63,278,362,158,26,227,355,951,0.402,0.329,0.762,15.6,5.3,1.5,2
21,/players/b/barbole01.html,BOS,Leandro Barbosa,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/barbole01.jpg,PG/SG,R,6-3,194,,1982-11-28,,,,2013,2013,1,41,513,83,193,18,47,31,41,8,46,58,17,6,21,51,215,0.43,0.383,0.756,12.5,5.2,1.1,1.4
22,/players/b/barketo01.html,BOS,Tom Barker,,C,R,6-11,225,University of Hawaii,1955-03-11,Welasco,Harlingen,Texas,1979,1979,1,12,131,21,48,,,11,15,12,30,6,4,4,13,26,53,0.438,,0.733,10.9,4.4,2.5,0.5
23,/players/b/barksdo01.html,BOS,Don Barksdale,,PF/SF,R,6-6,200,"University of California, Los Angeles",1923-03-31,Berkeley,Berkeley,California,1954,1955,2,135,3148,423,1114,,,369,563,,890,246,,,,438,1215,0.38,,0.655,23.3,9,6.6,1.8
24,/players/b/barneji01.html,BOS,Jim Barnes,,PF/C,R,6-8,210,University of Texas at El Paso,1941-04-13,Stillwater,Stillwater,Oklahoma,1969,1970,2,126,1644,270,636,,,160,220,,544,79,,,,336,700,0.425,,0.727,13,5.6,4.3,0.6
25,/players/b/barnema01.html,BOS,Marvin Barnes,,PF,R,6-8,210,Providence College,1952-07-27,Central,Providence,Rhode Island,1979,1979,1,38,796,133,271,,,43,66,57,177,53,38,39,68,144,309,0.491,,0.652,20.9,8.1,4.7,1.4
26,/players/b/barneji02.html,BOS,Jim Barnett,,SG/PG,R,6-4,170,University of Oregon,1944-07-07,Ramona,Riverside,California,1967,1967,1,48,383,78,211,,,42,62,,53,41,,,,61,198,0.37,,0.677,8,4.1,1.1,0.9
27,/players/b/barreer01.html,BOS,Ernie Barrett,,SG,R,6-3,180,Kansas State University,1929-08-27,Wellington,Wellington,Kansas,1954,1956,2,131,2092,267,724,,,107,143,,343,229,,,,300,641,0.369,,0.748,16,4.9,2.6,1.7
28,/players/b/barroda01.html,BOS,Dana Barros,,PG/SG,R,5-11,163,Boston College,1967-04-13,Xaverian,Westwood,Massachusetts,1996,2004,6,307,7028,1136,2477,416,1023,421,485,83,597,1014,250,24,420,420,3109,0.459,0.407,0.868,22.9,10.1,1.9,3.3
29,/players/b/bassbr01.html,BOS,Brandon Bass,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bassbr01.jpg,PF/C,R,6-8,250,Louisiana State University,1985-04-30,Capitol,Baton Rouge,Louisiana,2012,2015,4,304,8302,1285,2629,11,40,635,766,524,1658,330,155,221,330,653,3216,0.489,0.275,0.829,27.3,10.6,5.5,1.1
30,/players/b/battito01.html,BOS,Tony Battie,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/battito01.jpg,PF/C,R,6-11,230,Texas Tech University,1976-02-11,South Oak Cliff,Dallas,Texas,1999,2004,6,336,7474,940,1819,3,22,386,562,692,1975,237,204,369,272,1005,2269,0.517,0.136,0.687,22.2,6.8,5.9,0.7
31,/players/b/battlke01.html,BOS,Kenny Battle,,SG,L,6-6,210,,1964-10-10,West Aurora,Aurora,Illinois,1992,1993,2,11,75,9,17,0,1,10,10,10,20,2,2,0,4,6,28,0.529,0,1,6.8,2.5,1.8,0.2
32,/players/b/bayleje01.html,BOS,Jerryd Bayless,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bayleje01.jpg,PG/SG,R,6-3,200,University of Arizona,1988-08-20,Saint Mary's,Phoenix,Arizona,2014,2014,1,41,1036,158,378,51,129,49,61,14,86,128,40,4,60,89,416,0.418,0.395,0.803,25.3,10.1,2.1,3.1
33,/players/b/baynear01.html,BOS,Aron Baynes,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/baynear01.jpg,C,R,6-10,260,Washington State University,1986-12-09,,,,2018,2019,2,84,1530,218,466,6,29,63,83,140,449,96,22,52,82,205,505,0.468,0.207,0.759,18.2,6,5.3,1.1
34,/players/b/beckemo01.html,BOS,Moe Becker,,G/F,R,6-1,185,Duquesne University,1917-02-24,,,,1947,1947,1,6,,5,22,,,3,4,,,1,,,,15,13,0.227,,0.75,,2.2,,0.2
35,/players/b/beendha01.html,BOS,Hank Beenders,,C/F,R,6-6,185,Long Island University,1916-06-02,North Plainfield,North Plainfield,New Jersey,1949,1949,1,8,,6,28,,,7,9,,,3,,,,9,19,0.214,,0.778,,2.4,,0.4
36,/players/b/bigelbo01.html,BOS,Bob Bigelow,,SF,R,6-7,215,University of Pennsylvania,1953-12-26,Winchester,Winchester,Massachusetts,1978,1978,1,4,17,3,12,,,0,0,1,4,0,0,0,0,1,6,0.25,,,4.3,1.5,1,0
37,/players/b/billuch01.html,BOS,Chauncey Billups,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/billuch01.jpg,SG/PG,R,6-3,202,University of Colorado,1976-09-25,George Washington,Denver,Colorado,1998,1998,1,51,1296,177,454,64,189,147,180,40,113,217,77,2,118,118,565,0.39,0.339,0.817,25.4,11.1,2.2,4.3
38,/players/b/bingda01.html,BOS,Dave Bing,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bingda01.jpg,PG/SG,R,6-3,180,Syracuse University,1943-11-24,Spingarn,Washington,District of Columbia,1978,1978,1,80,2256,422,940,,,244,296,76,212,300,79,18,216,247,1088,0.449,,0.824,28.2,13.6,2.7,3.8
39,/players/b/birdja01.html,BOS,Jabari Bird,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/birdja01.jpg,SG,R,6-6,197,University of California,1994-07-03,Salesian Prep,Richmond,California,2018,2018,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,0.577,0.429,0.462,8.8,3,1.5,0.6
40,/players/b/birdla01.html,BOS,Larry Bird,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/birdla01.jpg,SF/PF,R,6-9,220,Indiana State University,1956-12-07,Springs Valley,French Lick,Indiana,1980,1992,13,897,34443,8591,17334,649,1727,3960,4471,1757,8974,5695,1556,755,2816,2279,21791,0.496,0.376,0.886,38.4,24.3,10,6.3
41,/players/b/birdsot01.html,BOS,Otis Birdsong,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/birdsot01.jpg,SG,R,6-3,190,University of Houston,1955-12-09,Winter Haven,Winter Haven,Florida,1989,1989,1,13,108,18,36,1,3,0,2,4,13,9,3,1,12,10,37,0.5,0.333,0,8.3,2.8,1,0.7
42,/players/b/blackja01.html,BOS,James Blackwell,,PG,R,6-0,190,Dartmouth College,1968-02-25,Deerfield,Deerfield,New York,1995,1995,1,9,61,6,10,0,0,2,3,2,8,6,3,0,3,7,14,0.6,,0.667,6.8,1.6,0.9,0.7
43,/players/b/bloommi01.html,BOS,Mike Bloom,,F/C,R,6-6,190,Temple University,1915-01-14,Trenton,Trenton,New Jersey,1948,1948,1,14,,46,169,,,37,57,,,14,,,,37,129,0.272,,0.649,,9.2,,1
44,/players/b/blounma01.html,BOS,Mark Blount,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/blounma01.jpg,C,R,7-0,230,University of Pittsburgh,1975-11-30,Oak Hill Academy,Mouth of Wilson,Virginia,2001,2006,6,338,7646,1041,1958,0,1,479,655,558,1589,333,203,318,546,906,2561,0.532,0,0.731,22.6,7.6,4.7,1
45,/players/b/blueva01.html,BOS,Vander Blue,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/blueva01.jpg,SG,R,6-4,200,Marquette University,1992-07-17,Madison Memorial,Madison,Wisconsin,2014,2014,1,3,15,2,4,0,1,1,5,0,3,1,0,0,2,1,5,0.5,0,0.2,5,1.7,1,0.3
46,/players/b/boganke01.html,BOS,Keith Bogans,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/boganke01.jpg,SG/SF,R,6-5,215,University of Kentucky,1980-05-12,DeMatha Catholic,Hyattsville,Maryland,2014,2014,1,6,55,3,6,3,6,3,3,0,3,3,1,0,1,2,12,0.5,0.5,1,9.2,2,0.5,0.5
47,/players/b/bonharo01.html,BOS,Ron Bonham,,SG/SF,R,6-5,192,University of Cincinnati,1942-05-31,Muncie Central,Muncie,Indiana,1965,1966,2,76,681,167,427,,,144,173,,113,30,,,,62,478,0.391,,0.832,9,6.3,1.5,0.4
48,/players/b/bosweto01.html,BOS,Tom Boswell,,PF,R,6-9,220,,1953-10-02,Carver,Montgomery,Alabama,1976,1978,3,170,2507,401,790,,,203,282,254,665,172,54,23,95,511,1005,0.508,,0.72,14.7,5.9,3.9,1
49,/players/b/bowenbr01.html,BOS,Bruce Bowen,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bowenbr01.jpg,SF,R,6-7,185,"California State University, Fullerton",1971-06-14,Edison,Fresno,California,1998,1999,2,91,1799,148,391,27,85,87,146,94,226,109,108,38,65,225,410,0.379,0.318,0.596,19.8,4.5,2.5,1.2
50,/players/b/boykoha01.html,BOS,Harry Boykoff,,C,R,6-10,225,St. John's University,1922-07-24,Thomas Jefferson,Brooklyn,New York,1951,1951,1,32,,78,203,,,45,63,,135,40,,,,130,201,0.384,,0.714,,6.3,4.2,1.3
51,/players/b/bradlav01.html,BOS,Avery Bradley,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bradlav01.jpg,PG/SG,R,6-2,180,University of Texas at Austin,1990-11-26,Findlay College Prep,Henderson,Nevada,2011,2017,7,413,11619,2025,4578,520,1421,438,567,275,1264,703,446,87,565,885,5008,0.442,0.366,0.772,28.1,12.1,3.1,1.7
52,/players/b/bradlch01.html,BOS,Charles Bradley,,SG,R,6-5,215,University of Wyoming,1959-05-16,Edgewood,Edgewood,Maryland,1982,1983,2,102,871,124,298,0,4,88,152,42,116,50,46,33,79,145,336,0.416,0,0.579,8.5,3.3,1.1,0.5
53,/players/b/brannbo01.html,BOS,Bob Brannum,,PF,R,6-5,215,Michigan State University,1925-05-28,Winfield,Winfield,Kansas,1952,1955,4,279,6576,653,1863,,,436,689,,1944,494,,,,1034,1742,0.351,,0.633,23.6,6.2,7,1.8
54,/players/b/braunca01.html,BOS,Carl Braun,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/braunca01.jpg,SG/PG,R,6-5,180,Colgate University,1927-09-25,Garden City,Garden City,New York,1962,1962,1,48,414,78,207,,,20,27,,50,71,,,,49,176,0.377,,0.741,8.6,3.7,1,1.5
55,/players/b/bremejr01.html,BOS,J.R. Bremer,,PG,L,6-2,185,St. Bonaventure University,1980-09-19,Cleveland Heights,Cleveland Heights,Ohio,2003,2003,1,64,1503,171,464,101,286,85,111,18,145,164,38,3,59,80,528,0.369,0.353,0.766,23.5,8.3,2.3,2.6
56,/players/b/brickfr01.html,BOS,Frank Brickowski,,SF/PF/C,R,6-9,240,Pennsylvania State University,1959-08-14,Locust Valley,Locust Valley,New York,1997,1997,1,17,255,32,73,7,20,10,14,6,34,15,5,4,19,42,81,0.438,0.35,0.714,15,4.8,2,0.9
57,/players/b/brighal01.html,BOS,Al Brightman,,F,R,6-2,195,University of Charleston,1923-09-22,Wilson,Long Beach,California,1947,1947,1,58,,223,870,,,121,193,,,60,,,,115,567,0.256,,0.627,,9.8,,1
58,/players/b/brookma01.html,BOS,MarShon Brooks,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/brookma01.jpg,SG,R,6-5,200,Providence College,1989-01-26,Tucker,Stone Mountain,Georgia,2014,2014,1,10,73,9,24,2,4,11,14,1,19,4,1,1,7,5,31,0.375,0.5,0.786,7.3,3.1,1.9,0.4
59,/players/b/brownde01.html,BOS,Dee Brown,,SG/PG,R,6-1,160,Jacksonville University,1968-11-29,The Bolles School,Jacksonville,Florida,1991,1998,8,476,13665,2104,4698,325,959,979,1181,281,1302,1883,675,174,734,1066,5512,0.448,0.339,0.829,28.7,11.6,2.7,4
60,/players/b/brownja02.html,BOS,Jaylen Brown,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/brownja02.jpg,SF/SG,R,6-7,225,University of California,1996-10-24,Wheeler,Marietta,Georgia,2017,2019,3,153,3639,580,1275,172,458,243,370,120,588,187,107,45,199,339,1575,0.455,0.376,0.657,23.8,10.3,3.8,1.2
61,/players/b/brownke01.html,BOS,Kedrick Brown,,SF,R,6-7,222,Okaloosa-Walton Community College,1981-03-18,Zachary,Zachary,Louisiana,2002,2004,3,101,1319,129,340,20,98,40,65,74,258,60,69,22,42,124,318,0.379,0.204,0.615,13.1,3.1,2.6,0.6
62,/players/b/brownpj01.html,BOS,P.J. Brown,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/brownpj01.jpg,C/PF,R,6-11,225,Louisiana Tech University,1969-10-14,Winnfield,Winnfield,Louisiana,2008,2008,1,18,209,14,41,0,1,11,16,29,68,10,5,8,10,29,39,0.341,0,0.688,11.6,2.2,3.8,0.6
63,/players/b/brownra02.html,BOS,Randy Brown,,PG,R,6-2,190,,1968-05-22,Collins,Chicago,Illinois,2001,2002,2,55,1244,100,238,0,3,23,40,23,99,156,62,11,56,133,223,0.42,0,0.575,22.6,4.1,1.8,2.8
64,/players/b/brunsri01.html,BOS,Rick Brunson,,PG,L,6-4,190,Temple University,1972-06-14,Salem,Salem,Massachusetts,2001,2001,1,7,142,10,35,2,11,4,9,2,9,24,7,1,9,16,26,0.286,0.182,0.444,20.3,3.7,1.3,3.4
65,/players/b/bryanem01.html,BOS,Em Bryant,,PG,R,6-1,175,DePaul University,1938-11-04,Crane Technical Preparatory,Chicago,Illinois,1969,1970,2,151,3005,407,1008,,,200,281,,461,407,,,,465,1014,0.404,,0.712,19.9,6.7,3.1,2.7
66,/players/b/bryanma01.html,BOS,Mark Bryant,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/bryanma01.jpg,C/PF,R,6-9,245,Seton Hall University,1965-04-25,Columbia,Maplewood,New Jersey,2003,2003,1,2,9,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,,,4.5,0,1,0.5
67,/players/b/bucknqu01.html,BOS,Quinn Buckner,,SG/PG,R,6-3,190,Indiana University,1954-08-20,Thornridge,Dolton,Illinois,1983,1985,3,226,3672,460,1077,0,11,154,241,129,411,637,255,10,326,524,1074,0.427,0,0.639,16.2,4.8,1.8,2.8
68,/players/b/burroju01.html,BOS,Junior Burrough,,PF,R,6-8,242,University of Virginia,1973-01-18,Oak Hill Academy,Mouth of Wilson,Virginia,1996,1996,1,61,495,64,170,0,0,61,93,45,109,15,15,10,40,74,189,0.376,,0.656,8.1,3.1,1.8,0.2
69,/players/b/butleal01.html,BOS,Al Butler,,PG,R,6-2,175,Niagara University,1938-07-09,East,Rochester,New York,1962,1962,1,5,47,13,29,,,5,6,,13,4,,,,9,31,0.448,,0.833,9.4,6.2,2.6,0.8
70,/players/c/carliri01.html,BOS,Rick Carlisle,,SG,R,6-5,210,,1959-10-27,Lisbon Central,Lisbon,New York,1985,1987,3,157,1236,148,348,5,28,45,60,38,128,164,30,4,94,141,346,0.425,0.179,0.75,7.9,2.2,0.8,1
71,/players/c/carrch01.html,BOS,Chris Carr,,SG/SF,R,6-5,207,Southern Illinois University,1974-03-12,Arcadia Valley,Ironton,Missouri,2001,2001,1,35,309,53,112,17,37,46,60,11,44,11,4,3,19,45,169,0.473,0.459,0.767,8.8,4.8,1.3,0.3
72,/players/c/carrml01.html,BOS,M.L. Carr,,SF,R,6-6,205,Guilford College,1951-01-09,Wallace Rose Hill,Teachey,North Carolina,1980,1985,6,363,5810,910,2023,33,129,432,570,286,818,484,303,95,402,675,2285,0.45,0.256,0.758,16,6.3,2.3,1.3
73,/players/c/cassesa01.html,BOS,Sam Cassell,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/cassesa01.jpg,PG,R,6-3,185,Florida State University,1969-11-18,Paul Laurence Dunbar,Baltimore,Maryland,2008,2008,1,17,299,50,130,9,22,21,25,5,31,35,9,3,19,29,130,0.385,0.409,0.84,17.6,7.6,1.8,2.1
74,/players/c/chanedo01.html,BOS,Don Chaney,,SG,R,6-5,210,University of Houston,1946-03-22,McKinley,Baton Rouge,Louisiana,1969,1980,10,652,14865,2287,5180,1,6,1114,1432,511,2572,1268,344,160,148,1840,5689,0.442,0.167,0.778,22.8,8.7,3.9,1.9
75,/players/c/cheanca01.html,BOS,Calbert Cheaney,,SF/SG,L,6-7,209,Indiana University,1971-07-17,Harrison,Evansville,Indiana,2000,2000,1,67,1309,120,273,18,54,9,21,23,138,80,44,14,46,158,267,0.44,0.333,0.429,19.5,4,2.1,1.2
76,/players/c/clarkca01.html,BOS,Carlos Clark,,SG,R,6-4,210,University of Mississippi,1960-08-10,Fayette-Ware,Somerville,Tennessee,1984,1985,2,93,689,83,204,0,7,57,71,36,86,65,43,3,54,79,223,0.407,0,0.803,7.4,2.4,0.9,0.7
77,/players/c/clarkco01.html,BOS,Coty Clarke,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/clarkco01.jpg,SF,R,6-7,232,University of Arkansas,1992-07-04,Pinson,Pinson Valley,Alabama,2016,2016,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,0.5,1,,2,2,0.3,0
78,/players/c/claxtch01.html,BOS,Charles Claxton,,C,R,7-0,265,University of Georgia,1970-12-13,Miami Carol City,Miami,Florida,1996,1996,1,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,0.5,,0,2.3,0.7,0.7,0
79,/players/c/clydebe01.html,BOS,Ben Clyde,,SF,R,6-7,198,Florida State University,1951-06-10,Gibbs,Saint Petersburg,Florida,1975,1975,1,25,157,31,72,,,7,9,15,41,5,5,3,,34,69,0.431,,0.778,6.3,2.8,1.6,0.2
80,/players/c/colesbi01.html,BOS,Bimbo Coles,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/colesbi01.jpg,PG,R,6-1,180,Virginia Polytechnic Institute and State University,1968-04-22,Greenbriar East,Lewisburg,West Virginia,2003,2003,1,14,175,22,49,0,7,8,8,1,11,16,6,0,10,17,52,0.449,0,1,12.5,3.7,0.8,1.1
81,/players/c/collija04.html,BOS,Jason Collins,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/collija04.jpg,PF/C,R,7-0,255,Stanford University,1978-12-02,Harvard-Westlake School,North Hollywood,California,2013,2013,1,32,330,8,23,0,0,21,30,21,52,6,10,6,16,74,37,0.348,,0.7,10.3,1.2,1.6,0.2
82,/players/c/conlege01.html,BOS,Gene Conley,,PF,R,6-8,225,Washington State University,1930-11-10,Columbia,Richland,Washington,1953,1961,4,235,3696,505,1404,,,237,362,,1587,110,,,,736,1247,0.36,,0.655,15.7,5.3,6.8,0.5
83,/players/c/conloma01.html,BOS,Marty Conlon,,C,R,6-10,224,Providence College,1968-01-19,Archbishop Stepinac,White Plains,New York,1997,1997,1,74,1614,214,454,2,10,144,171,128,323,104,46,18,109,154,574,0.471,0.2,0.842,21.8,7.8,4.4,1.4
84,/players/c/connoch01.html,BOS,Chuck Connors,,F/C,L,6-5,190,Seton Hall University,1921-04-10,Adelphi Academy,Brooklyn,New York,1947,1948,2,53,,99,393,,,41,87,,,41,,,,134,239,0.252,,0.471,,4.5,,0.8
85,/players/c/cookno01.html,BOS,Norm Cook,,SF,R,6-8,210,University of Kansas,1955-03-21,Lincoln,Lincoln,Illinois,1977,1977,1,25,138,27,72,,,9,17,10,27,5,10,3,,27,63,0.375,,0.529,5.5,2.5,1.1,0.2
86,/players/c/coopech01.html,BOS,Chuck Cooper,,SF/PF,R,6-5,210,Duquesne University,1926-09-29,Westinghouse,Pittsburgh,Pennsylvania,1951,1954,4,272,5071,639,1873,,,572,774,,1807,494,,,,846,1850,0.341,,0.739,24.6,6.8,6.6,1.8
87,/players/c/corchch01.html,BOS,Chris Corchiani,,PG,R,6-0,185,North Carolina State University,1968-03-28,Hialeah-Miami Lakes,Hialeah,Florida,1994,1994,1,51,467,40,94,11,38,26,38,8,44,86,22,2,38,47,117,0.426,0.289,0.684,9.2,2.3,0.9,1.7
88,/players/c/countme01.html,BOS,Mel Counts,,C/PF,R,7-0,230,Oregon State University,1941-10-16,Marshfield,Coos Bay,Oregon,1965,1966,2,121,1593,321,821,,,178,219,,697,69,,,,341,820,0.391,,0.813,13.2,6.8,5.8,0.6
